#X,V0_V,dV0dT_V_K
0.2260348,3.43287397167328,-2.03883839831053e-05
0.228035,3.43285616558336,-2.06403393784577e-05
0.2300351,3.43283832859236,-2.08923984165066e-05
0.2320353,3.43282052250244,-2.1144353811859e-05
0.2340354,3.43280261276982,-2.13963092072114e-05
0.2360356,3.43278477577883,-2.16483682452603e-05
0.2380357,3.43276699697803,-2.18814606698376e-05
0.2400358,3.43274918535877,-2.21136203101458e-05
0.242036,3.43273130099788,-2.23456763077575e-05
0.2440361,3.43271348937862,-2.25778359480658e-05
0.2460363,3.43269567775936,-2.2809995588374e-05
0.2480364,3.43267789704117,-2.30420515859857e-05
0.2500366,3.43265998177921,-2.32742112262939e-05
0.2520367,3.43264220106102,-2.35062672239056e-05
0.2540368,3.43262438944175,-2.37384268642138e-05
0.256037,3.43260657782249,-2.39705865045221e-05
0.2580371,3.43258869346161,-2.42026425021337e-05
0.2600373,3.43257086977315,-2.44226759469437e-05
0.2620374,3.43255304382529,-2.46190788569366e-05
0.2640376,3.43253521787743,-2.48154817669295e-05
0.2660377,3.43251739192956,-2.50118846769224e-05
0.2680378,3.4324995659817,-2.52082875869153e-05
0.270038,3.43248174003383,-2.54046904969083e-05
0.2720381,3.43246391239141,-2.55833705057884e-05
0.2740383,3.43244612872977,-2.57466077528801e-05
0.2760384,3.43242824142543,-2.59098449999718e-05
0.2780386,3.43241045776378,-2.60730822470635e-05
0.2800387,3.43239257045944,-2.62363194941553e-05
0.2820388,3.4323747867978,-2.6399556741247e-05
0.284039,3.43235689949346,-2.65627939883387e-05
0.2860391,3.43233914673289,-2.67259275927339e-05
0.2880393,3.43232136307124,-2.68891648398256e-05
0.2900394,3.4323034757669,-2.70524020869173e-05
0.2920396,3.43228562703319,-2.72196813991751e-05
0.2940397,3.43226776984224,-2.73935938440132e-05
0.2960398,3.43225004719505,-2.75674026461547e-05
0.29804,3.43223219000409,-2.77413150909927e-05
0.3000401,3.43221433281314,-2.79152275358308e-05
0.3020403,3.43219647562218,-2.80891399806688e-05
0.3040404,3.4321786493323,-2.82629487828103e-05
0.3060406,3.43216089578404,-2.84368612276484e-05
0.3080407,3.43214297870834,-2.86120173848452e-05
0.3100408,3.43212522719666,-2.88262468386475e-05
0.312041,3.43210734114121,-2.90405799351463e-05
0.3140411,3.43208958962953,-2.92548093889486e-05
0.3160413,3.43207173447516,-2.94690388427509e-05
0.3180414,3.43205384841971,-2.96833719392497e-05
0.3200416,3.43203607175913,-2.99008143166456e-05
0.3220417,3.43201823250873,-3.01292428198775e-05
0.3240418,3.43200039325832,-3.03576713231093e-05
0.326042,3.43198255400792,-3.05860998263411e-05
0.3280421,3.43196471475752,-3.0814528329573e-05
0.3300423,3.43194687550711,-3.10429568328049e-05
0.3320424,3.43192910899833,-3.12714889787333e-05
0.3340426,3.43191131158849,-3.15001247673583e-05
0.3360427,3.43189344143701,-3.17286569132867e-05
0.3380428,3.43187564402717,-3.19572927019117e-05
0.340043,3.43185777387569,-3.21858248478401e-05
0.3420431,3.43183997646584,-3.24144606364651e-05
