*X,dH_J_mol,dS_J_mol_K
0.1813709,-15925.66,27.06644
0.1823202,-15894.15,26.99445
0.1832694,-15862.64,26.92245
0.1842186,-15831.13,26.85045
0.1851678,-15799.06,26.78034
0.1861170,-15766.99,26.71023
0.1870662,-15734.92,26.64013
0.1880154,-15702.84,26.57003
0.1889646,-15670.77,26.49992
0.1899138,-15638.70,26.42982
0.1908630,-15606.63,26.35972
0.1918122,-15574.55,26.28962
0.1927614,-15542.48,26.21951
0.1937106,-15510.41,26.14941
0.1946598,-15485.11,26.08180
0.1956090,-15458.99,26.01738
0.1965582,-15432.87,25.95296
0.1975074,-15406.75,25.88854
0.1984566,-15380.63,25.82412
0.1994058,-15354.51,25.75970
0.2003550,-15328.39,25.69528
0.2013042,-15302.27,25.63086
0.2022534,-15276.15,25.56644
0.2032026,-15250.03,25.50203
0.2041518,-15223.91,25.43761
0.2051010,-15197.30,25.37486
0.2060502,-15170.61,25.31233
0.2069994,-15143.93,25.24981
0.2079486,-15117.25,25.18729
0.2088978,-15103.29,25.12476
0.2098470,-15097.21,25.06224
0.2107962,-15091.14,24.99971
0.2117454,-15085.06,24.93719
0.2126946,-15078.99,24.87466
0.2136438,-15072.91,24.81214
0.2145931,-15067.12,24.74869
0.2155423,-15061.89,24.68332
0.2164915,-15056.66,24.61796
0.2174407,-15051.43,24.55259
0.2183899,-15046.21,24.48722
0.2193391,-15040.98,24.42186
0.2202883,-15035.75,24.35649
0.2212375,-15030.52,24.29113
0.2221867,-15025.30,24.22576
0.2231359,-15021.11,24.16039
0.2240851,-15019.99,24.09503
0.2250343,-15019.75,24.02674
0.2259835,-15019.76,23.95759
0.2269327,-15019.78,23.88843
0.2278819,-15019.80,23.81928
0.2288311,-15019.81,23.75012
0.2297803,-15019.83,23.68097
0.2307295,-15019.84,23.61181
0.2316787,-15019.86,23.54265
0.2326279,-15019.87,23.47350
0.2335771,-15019.89,23.40434
0.2345263,-15019.97,23.33498
0.2354755,-15020.26,23.26488
0.2364247,-15020.56,23.19478
0.2373739,-15020.86,23.12468
0.2383231,-15027.95,23.05457
0.2392723,-15035.90,22.98447
0.2402215,-15043.86,22.91437
0.2411707,-15051.81,22.84426
0.2421199,-15059.76,22.77416
0.2430691,-15067.71,22.70406
0.2440183,-15075.67,22.63396
0.2449675,-15083.62,22.56385
0.2459167,-15091.57,22.49375
0.2468660,-15099.53,22.42365
0.2478152,-15107.48,22.35354
0.2487644,-15115.43,22.28344
0.2497136,-15123.38,22.21334
0.2506628,-15131.34,22.14323
0.2516120,-15139.29,22.07313
0.2525612,-15147.55,22.00303
0.2535104,-15156.08,21.93293
0.2544596,-15164.68,21.86263
0.2554088,-15173.78,21.79063
0.2563580,-15182.88,21.71863
0.2573072,-15191.98,21.64664
0.2582564,-15201.09,21.57464
0.2592056,-15210.19,21.50264
0.2601548,-15219.29,21.43064
0.2611040,-15228.39,21.35865
0.2620532,-15237.49,21.28665
0.2630024,-15246.59,21.21465
0.2639516,-15255.70,21.14265
0.2649008,-15265.11,21.06962
0.2658500,-15274.77,20.99573
0.2667992,-15285.37,20.92184
0.2677484,-15300.92,20.84794
0.2686976,-15316.48,20.77405
0.2696468,-15332.04,20.70016
0.2705960,-15347.59,20.62627
0.2715452,-15363.15,20.55237
0.2724944,-15378.71,20.47848
0.2734436,-15394.26,20.40459
0.2743928,-15409.82,20.33070
0.2753420,-15425.66,20.25587
0.2762912,-15441.50,20.18103
0.2772404,-15457.33,20.10619
0.2781896,-15473.17,20.03135
0.2791389,-15489.01,19.95651
0.2800881,-15504.85,19.88167
0.2810373,-15520.69,19.80683
0.2819865,-15539.33,19.73199
0.2829357,-15558.71,19.65715
0.2838849,-15578.08,19.58231
0.2848341,-15596.35,19.51118
0.2857833,-15613.18,19.44486
0.2867325,-15630.02,19.37855
0.2876817,-15646.85,19.31224
0.2886309,-15663.68,19.24592
0.2895801,-15680.51,19.17961
0.2905293,-15697.35,19.11330
0.2914785,-15714.18,19.04698
0.2924277,-15731.01,18.98067
0.2933769,-15747.84,18.91435
0.2943261,-15764.68,18.84804
0.2952753,-15777.04,18.79671
0.2962245,-15789.04,18.74745
0.2971737,-15801.37,18.69819
0.2981229,-15813.70,18.64893
0.2990721,-15826.04,18.59967
0.3000213,-15838.37,18.55040
0.3009705,-15850.70,18.50114
0.3019197,-15863.03,18.45188
0.3028689,-15875.37,18.40262
0.3038181,-15887.70,18.35336
0.3047673,-15897.84,18.31144
0.3057165,-15903.40,18.28491
0.3066657,-15908.95,18.25839
0.3076149,-15914.50,18.23186
0.3085641,-15920.06,18.20534
0.3095133,-15925.61,18.17881
0.3104625,-15931.06,18.15228
0.3114118,-15934.84,18.12576
0.3123610,-15938.62,18.09923
0.3133102,-15942.40,18.07271
0.3142594,-15946.19,18.04618
0.3152086,-15948.45,18.02474
0.3161578,-15950.26,18.00485
0.3171070,-15952.07,17.98495
0.3180562,-15953.87,17.96506
0.3190054,-15955.68,17.94517
0.3199546,-15957.48,17.92527
0.3209038,-15959.29,17.90538
0.3218530,-15961.09,17.88548
0.3228022,-15962.90,17.86559
0.3237514,-15964.71,17.84570
0.3247006,-15966.63,17.82540
0.3256498,-15971.88,17.80361
0.3265990,-15978.37,17.78182
