*X,dH_J_mol,dS_J_mol_K
0.7784196,-10437.15,23.68800
0.7793688,-10447.60,23.65295
0.7803180,-10458.05,23.61790
0.7812672,-10468.50,23.58285
0.7822164,-10478.95,23.54780
0.7831656,-10489.40,23.51275
0.7841148,-10499.85,23.47769
0.7850640,-10510.31,23.44264
0.7860132,-10519.13,23.41304
0.7869624,-10527.04,23.38652
0.7879116,-10534.95,23.35999
0.7888608,-10542.86,23.33347
0.7898100,-10550.76,23.30694
0.7907592,-10558.67,23.28042
0.7917084,-10566.58,23.25389
0.7926576,-10574.49,23.22736
0.7936068,-10582.40,23.20084
0.7945560,-10590.31,23.17431
0.7955052,-10598.03,23.14842
0.7964544,-10603.68,23.12947
0.7974037,-10609.33,23.11053
0.7983529,-10614.97,23.09158
0.7993021,-10620.62,23.07263
0.8002513,-10626.27,23.05369
0.8012005,-10631.92,23.03474
0.8021497,-10637.57,23.01579
0.8030989,-10643.22,22.99685
0.8040481,-10648.87,22.97790
0.8049973,-10654.52,22.95895
0.8059465,-10659.12,22.94350
0.8068957,-10662.80,22.93119
0.8078449,-10666.47,22.91887
0.8087941,-10670.14,22.90656
0.8097433,-10673.81,22.89424
0.8106925,-10677.48,22.88193
0.8116417,-10681.15,22.86961
0.8125909,-10684.83,22.85730
0.8135401,-10688.50,22.84498
0.8144893,-10692.17,22.83267
0.8154385,-10695.84,22.82035
0.8163877,-10698.42,22.81172
0.8173369,-10700.96,22.80319
0.8182861,-10703.50,22.79466
0.8192353,-10706.04,22.78614
0.8201845,-10708.58,22.77761
0.8211337,-10707.77,22.76909
0.8220829,-10698.53,22.76056
0.8230321,-10689.30,22.75203
0.8239813,-10680.07,22.74351
0.8249305,-10670.84,22.73498
0.8258797,-10661.14,22.72803
0.8268289,-10650.77,22.72329
0.8277781,-10640.41,22.71856
0.8287273,-10630.05,22.71382
0.8296766,-10619.69,22.70908
0.8306258,-10609.33,22.70435
0.8315750,-10598.96,22.69961
0.8325242,-10588.60,22.69487
0.8334734,-10578.24,22.69014
0.8344226,-10567.88,22.68540
0.8353718,-10557.52,22.68066
0.8363210,-10557.15,22.67511
0.8372702,-10557.66,22.66943
0.8382194,-10558.18,22.66374
0.8391686,-10558.69,22.65806
0.8401178,-10559.20,22.65238
0.8410670,-10559.72,22.64669
0.8420162,-10560.23,22.64101
0.8429654,-10560.75,22.63532
0.8439146,-10561.26,22.62964
0.8448638,-10561.78,22.62396
0.8458130,-10563.41,22.61453
0.8467622,-10567.59,22.59653
0.8477114,-10571.78,22.57853
0.8486606,-10575.96,22.56053
0.8496098,-10580.15,22.54253
0.8505590,-10583.36,22.52453
0.8515082,-10585.79,22.50653
0.8524574,-10588.21,22.48853
0.8534066,-10590.64,22.47053
0.8543558,-10593.07,22.45253
0.8553050,-10595.50,22.43454
0.8562542,-10599.19,22.41228
0.8572034,-10603.32,22.38860
0.8581526,-10607.44,22.36492
0.8591018,-10611.56,22.34123
0.8600510,-10615.68,22.31755
0.8610002,-10619.80,22.29387
0.8619495,-10623.93,22.27018
0.8628987,-10628.05,22.24650
0.8638479,-10632.17,22.22282
0.8647971,-10635.62,22.19913
0.8657463,-10635.72,22.17709
0.8666955,-10633.77,22.16193
0.8676447,-10631.81,22.14677
0.8685939,-10629.85,22.13162
0.8695431,-10627.90,22.11646
0.8704923,-10625.94,22.10130
0.8714415,-10623.99,22.08614
0.8723907,-10622.03,22.07099
0.8733399,-10620.08,22.05583
0.8742891,-10618.12,22.04067
0.8752383,-10616.17,22.02551
0.8761875,-10611.70,22.01879
0.8771367,-10605.79,22.01690
0.8780859,-10599.88,22.01501
0.8790351,-10593.97,22.01311
0.8799843,-10586.60,22.01122
0.8809335,-10578.92,22.00932
0.8818827,-10571.24,22.00743
0.8828319,-10563.56,22.00553
0.8837811,-10555.88,22.00364
0.8847303,-10548.20,22.00174
0.8856795,-10540.57,21.99970
0.8866287,-10533.45,21.99591
0.8875779,-10526.33,21.99212
0.8885271,-10519.22,21.98833
0.8894763,-10512.10,21.98454
0.8904255,-10504.99,21.98075
0.8913747,-10497.87,21.97696
0.8923239,-10490.76,21.97317
0.8932731,-10483.64,21.96938
0.8942224,-10471.38,21.96559
0.8951716,-10453.09,21.96180
0.8961208,-10437.32,21.94957
0.8970700,-10423.83,21.92967
0.8980192,-10410.33,21.90978
0.8989684,-10396.84,21.88989
0.8999176,-10383.35,21.86999
0.9008668,-10369.86,21.85010
0.9018160,-10356.37,21.83020
0.9027652,-10342.88,21.81031
0.9037144,-10329.39,21.79042
0.9046636,-10315.90,21.77052
0.9056128,-10302.40,21.75063
0.9065620,-10295.21,21.70963
0.9075112,-10288.21,21.66795
0.9084604,-10280.04,21.62627
0.9094096,-10260.68,21.58458
0.9103588,-10241.32,21.54290
0.9113080,-10221.96,21.50122
0.9122572,-10202.60,21.45953
0.9132064,-10183.24,21.41785
0.9141556,-10163.88,21.37617
0.9151048,-10144.52,21.33449
0.9160540,-10126.56,21.28811
0.9170032,-10110.59,21.23506
0.9179524,-10094.62,21.18201
0.9189016,-10078.65,21.12896
0.9198508,-10062.68,21.07591
0.9208000,-10046.71,21.02286
0.9217492,-10030.74,20.96981
0.9226984,-10014.77,20.91676
0.9236476,-9981.62,20.86371
0.9245968,-9942.10,20.81065
0.9255460,-9902.59,20.75760
0.9264953,-9864.29,20.70050
0.9274445,-9826.19,20.64271
0.9283937,-9788.09,20.58492
0.9293429,-9749.99,20.52713
0.9302921,-9711.89,20.46935
0.9312413,-9673.79,20.41156
0.9321905,-9635.69,20.35377
0.9331397,-9597.59,20.29598
0.9340889,-9559.49,20.23820
0.9350381,-9521.39,20.18041
0.9359873,-9484.40,20.11892
0.9369365,-9449.97,20.04881
0.9378857,-9397.50,19.97871
0.9388349,-9313.63,19.90861
0.9397841,-9229.76,19.83850
0.9407333,-9145.90,19.76840
0.9416825,-9062.03,19.69830
0.9426317,-8978.16,19.62820
0.9435809,-8894.30,19.55809
0.9445301,-8810.43,19.48799
0.9454793,-8726.56,19.41789
0.9464285,-8649.64,19.32450
0.9473777,-8575.09,19.22313
0.9483269,-8500.55,19.12177
0.9492761,-8426.00,19.02040
0.9502253,-8351.46,18.91904
0.9511745,-8276.91,18.81767
0.9521237,-8202.36,18.71631
