*X,dH_J_mol,dS_J_mol_K
0.3740454,-332098.53,25.75312
0.3760456,-332100.23,25.74165
0.3780457,-332101.93,25.73017
0.3800458,-332103.35,25.71967
0.3820460,-332102.50,25.71673
0.3840461,-332101.66,25.71379
0.3860463,-332100.81,25.71086
0.3880464,-332099.97,25.70792
0.3900466,-332099.12,25.70498
0.3920467,-332098.28,25.70204
0.3940468,-332097.17,25.70000
0.3960470,-332095.45,25.70000
0.3980471,-332093.73,25.70000
0.4000473,-332092.01,25.70000
0.4020474,-332090.29,25.70000
0.4040476,-332088.93,25.70000
0.4060477,-332087.62,25.70000
0.4080478,-332085.92,25.70134
0.4100480,-332084.15,25.70292
0.4120481,-332082.37,25.70450
0.4140483,-332080.60,25.70608
0.4160484,-332078.83,25.70766
0.4180486,-332077.05,25.70924
0.4200487,-332075.52,25.71000
0.4220488,-332074.22,25.71000
0.4240490,-332072.92,25.71000
0.4260491,-332071.61,25.71000
0.4280493,-332070.31,25.71000
0.4300494,-332069.01,25.71000
0.4320496,-332067.70,25.71000
0.4340497,-332066.40,25.71000
0.4360498,-332065.10,25.71000
0.4380500,-332063.80,25.71000
0.4400501,-332062.49,25.71000
0.4420503,-332061.19,25.71000
0.4440504,-332059.89,25.71000
0.4460506,-332058.58,25.71000
0.4480507,-332057.28,25.71000
0.4500508,-332055.98,25.71000
0.4520510,-332054.67,25.71000
0.4540511,-332053.37,25.71000
0.4560513,-332052.07,25.71000
0.4580514,-332050.77,25.71000
0.4600516,-332049.46,25.71000
0.4620517,-332048.16,25.71000
0.4640518,-332046.86,25.71000
0.4660520,-332045.55,25.71000
0.4680521,-332044.25,25.71000
0.4700523,-332042.95,25.71000
0.4720524,-332041.65,25.71000
0.4740526,-332040.34,25.71000
0.4760527,-332039.04,25.71000
0.4780528,-332037.74,25.71000
0.4800530,-332036.45,25.70993
0.4820531,-332035.63,25.70831
0.4840533,-332034.81,25.70669
0.4860534,-332033.99,25.70507
0.4880536,-332033.17,25.70345
0.4900537,-332032.35,25.70183
0.4920538,-332031.53,25.70021
0.4940540,-332030.29,25.70000
0.4960541,-332028.99,25.70000
0.4980543,-332027.69,25.70000
0.5000544,-332026.39,25.70000
0.5020546,-332025.08,25.70000
0.5040547,-332023.78,25.70000
0.5060549,-332022.48,25.70000
0.5080550,-332021.17,25.70000
0.5100551,-332019.87,25.70000
0.5120553,-332018.57,25.70000
0.5140554,-332017.26,25.70000
0.5160556,-332015.96,25.70000
0.5180557,-332014.66,25.70000
0.5200559,-332013.49,25.69954
0.5220560,-332012.79,25.69754
0.5240561,-332012.08,25.69553
0.5260563,-332011.38,25.69352
0.5280564,-332010.67,25.69152
0.5300566,-332010.10,25.68907
0.5320567,-332009.93,25.68527
0.5340569,-332009.76,25.68146
0.5360570,-332009.60,25.67765
0.5380571,-332009.43,25.67385
0.5400573,-332009.26,25.67004
0.5420574,-332010.21,25.66247
0.5440576,-332011.18,25.65486
0.5460577,-332012.15,25.64724
0.5480579,-332013.11,25.63963
0.5500580,-332014.08,25.63202
0.5520581,-332014.63,25.62581
0.5540583,-332015.03,25.62010
0.5560584,-332015.43,25.61439
0.5580586,-332015.83,25.60868
0.5600587,-332016.23,25.60297
0.5620589,-332017.17,25.59543
0.5640590,-332018.71,25.58590
0.5660591,-332020.25,25.57638
0.5680593,-332021.78,25.56685
0.5700594,-332023.32,25.55733
0.5720596,-332024.99,25.54737
0.5740597,-332027.09,25.53595
0.5760599,-332029.19,25.52453
0.5780600,-332031.29,25.51311
0.5800601,-332033.39,25.50169
0.5820603,-332035.49,25.49028
0.5840604,-332037.72,25.47845
0.5860606,-332039.94,25.46662
0.5880607,-332042.17,25.45478
0.5900609,-332044.27,25.44295
0.5920610,-332046.25,25.43111
0.5940611,-332048.23,25.41928
0.5960613,-332050.21,25.40744
0.5980614,-332051.97,25.39636
0.6000616,-332053.34,25.38655
0.6020617,-332054.72,25.37674
0.6040619,-332056.10,25.36693
0.6060620,-332057.48,25.35711
0.6080621,-332058.85,25.34730
0.6100623,-332060.23,25.33749
0.6120624,-332061.61,25.32768
0.6140626,-332062.84,25.31835
0.6160627,-332063.57,25.31074
0.6180629,-332064.29,25.30312
0.6200630,-332065.01,25.29551
0.6220631,-332065.73,25.28790
0.6240633,-332066.45,25.28029
0.6260634,-332067.72,25.27084
0.6280636,-332069.01,25.26133
0.6300637,-332070.30,25.25181
0.6320639,-332071.59,25.24230
0.6340640,-332072.88,25.23278
0.6360641,-332074.57,25.22191
0.6380643,-332076.43,25.21048
0.6400644,-332078.29,25.19905
0.6420646,-332080.15,25.18762
0.6440647,-332082.01,25.17619
0.6460649,-332084.13,25.16390
0.6480650,-332086.56,25.15058
0.6500651,-332088.98,25.13725
0.6520653,-332091.41,25.12393
0.6540654,-332093.83,25.11061
0.6560656,-332095.91,25.09845
0.6580657,-332096.63,25.09084
0.6600659,-332097.35,25.08323
0.6620660,-332098.07,25.07561
0.6640661,-332098.80,25.06800
0.6660663,-332099.52,25.06039
0.6680664,-332099.70,25.05458
0.6700666,-332099.86,25.04886
0.6720667,-332100.02,25.04315
0.6740669,-332100.17,25.03743
0.6760670,-332100.33,25.03172
0.6780671,-332099.69,25.02867
0.6800673,-332098.71,25.02677
0.6820674,-332097.73,25.02486
0.6840676,-332096.75,25.02296
0.6860677,-332095.77,25.02106
0.6880679,-332094.87,25.01888
0.6900680,-332094.07,25.01637
0.6920681,-332093.27,25.01387
0.6940683,-332092.47,25.01136
0.6960684,-332091.67,25.00885
0.6980686,-332090.87,25.00634
0.7000687,-332090.07,25.00383
0.7020689,-332089.27,25.00132
0.7040690,-332088.56,24.99854
0.7060691,-332087.93,24.99545
0.7080693,-332087.30,24.99237
0.7100694,-332086.67,24.98928
0.7120696,-332086.04,24.98620
0.7140697,-332085.42,24.98312
0.7160699,-332084.79,24.98003
0.7180700,-332084.16,24.97695
0.7200701,-332083.53,24.97387
0.7220703,-332082.90,24.97078
0.7240704,-332081.90,24.96895
0.7260706,-332080.77,24.96755
0.7280707,-332079.64,24.96614
0.7300709,-332078.52,24.96473
0.7320710,-332077.39,24.96333
0.7340711,-332074.63,24.96192
0.7360713,-332071.66,24.96052
0.7380714,-332069.27,24.95718
0.7400716,-332067.21,24.95270
0.7420717,-332065.15,24.94823
0.7440719,-332063.09,24.94375
0.7460720,-332061.03,24.93928
0.7480721,-332058.98,24.93480
0.7500723,-332056.92,24.93033
0.7520724,-332056.25,24.92118
0.7540726,-332055.70,24.91167
0.7560727,-332055.14,24.90215
0.7580729,-332054.59,24.89263
0.7600730,-332054.03,24.88312
0.7620731,-332054.24,24.87105
0.7640733,-332054.82,24.85772
0.7660734,-332055.40,24.84440
0.7680736,-332055.98,24.83108
0.7700737,-332056.56,24.81776
0.7720739,-332057.38,24.80364
0.7740740,-332058.52,24.78842
0.7760741,-332059.67,24.77319
0.7780743,-332060.82,24.75797
0.7800744,-332061.96,24.74274
0.7820746,-332063.11,24.72752
0.7840747,-332064.26,24.71228
0.7860749,-332065.42,24.69704
0.7880750,-332066.57,24.68180
0.7900751,-332067.72,24.66656
0.7920753,-332068.87,24.65132
0.7940754,-332071.05,24.63262
0.7960756,-332073.34,24.61359
0.7980757,-332075.62,24.59456
0.8000759,-332077.90,24.57553
0.8020760,-332080.18,24.55650
0.8040761,-332082.46,24.53746
0.8060763,-332084.75,24.51843
0.8080764,-332087.03,24.49940
0.8100766,-332089.31,24.48037
0.8120767,-332091.59,24.46134
0.8140769,-332092.96,24.44538
0.8160770,-332092.97,24.43395
0.8180771,-332092.99,24.42252
0.8200773,-332093.00,24.41109
0.8220774,-332093.02,24.39966
0.8240776,-332092.86,24.38882
0.8260777,-332091.74,24.38121
0.8280779,-332088.94,24.37360
0.8300780,-332085.71,24.36599
0.8320781,-332082.48,24.35838
0.8340783,-332079.24,24.35076
0.8360784,-332075.50,24.34486
0.8380786,-332071.70,24.33915
0.8400787,-332067.90,24.33344
0.8420789,-332064.10,24.32774
0.8440790,-332060.30,24.32203
0.8460791,-332057.23,24.31386
0.8480793,-332054.56,24.30435
0.8500794,-332051.90,24.29483
0.8520796,-332049.23,24.28531
0.8540797,-332046.57,24.27580
0.8560799,-332043.90,24.26628
0.8580800,-332041.24,24.25676
0.8600801,-332038.58,24.24723
0.8620803,-332035.91,24.23771
0.8640804,-332033.25,24.22818
0.8660806,-332030.51,24.21893
0.8680807,-332027.27,24.21131
0.8700809,-332024.04,24.20370
0.8720810,-332020.81,24.19609
0.8740811,-332017.57,24.18848
0.8760813,-332014.34,24.18087
0.8780814,-332010.61,24.17494
0.8800816,-332006.81,24.16923
0.8820817,-332003.00,24.16352
0.8840819,-331999.20,24.15781
0.8860820,-331995.40,24.15210
0.8880821,-331991.25,24.14759
0.8900823,-331986.88,24.14378
0.8920824,-331982.51,24.13997
0.8940826,-331978.14,24.13616
0.8960827,-331973.78,24.13235
0.8980829,-331969.62,24.12786
0.9000830,-331965.78,24.12225
0.9020831,-331961.95,24.11664
0.9040833,-331958.12,24.11103
0.9060834,-331954.29,24.10543
0.9080836,-331950.44,24.09987
0.9100837,-331946.10,24.09600
0.9120839,-331941.75,24.09212
0.9140840,-331937.40,24.08825
0.9160841,-331933.06,24.08437
0.9180843,-331928.71,24.08049
0.9200844,-331923.85,24.07834
0.9220846,-331918.91,24.07643
0.9240847,-331913.98,24.07453
0.9260849,-331909.05,24.07262
0.9280850,-331904.11,24.07072
0.9300851,-331899.21,24.05221
0.9320853,-331888.60,24.02366
0.9340854,-331877.98,23.99512
0.9360856,-331867.37,23.96657
0.9380857,-331856.76,23.93803
0.9400859,-331852.00,23.88984
0.9420860,-331857.27,23.80801
0.9440861,-331852.57,23.72618
0.9460863,-331831.32,23.64434
0.9480864,-331810.06,23.56251
0.9500866,-331791.20,23.47265
0.9520867,-331790.94,23.32041
0.9540869,-331790.68,23.16816
0.9560870,-331790.42,23.01591
0.9580871,-331778.86,22.86367
0.9600873,-331749.64,22.71142
0.9620874,-331732.17,22.51976
0.9640876,-331716.63,22.32165
0.9660877,-331701.08,22.12355
0.9680879,-331685.54,21.92544
0.9700880,-331669.99,21.72733
0.9720881,-331652.17,21.50729
0.9740883,-331625.48,21.27321
0.9760884,-331598.80,21.03913
0.9780886,-331572.11,20.80505
0.9800887,-331533.90,20.57097
0.9820889,-331422.66,20.32262
0.9840890,-331319.14,20.04835
0.9860891,-331213.17,19.77409
0.9880893,-330877.46,19.49982
0.9900894,-330183.10,19.22555
0.9920896,-328239.54,18.95129
0.9940897,-325874.63,18.62222
0.9960899,-321647.43,18.20203
0.9980900,-310692.99,17.78183
